Order_ID,PDate,Status,Fulfilment,Sales_Channel ,ship_service_level,Style,SKU,Category,PSize,ASIN,Qty,currency,Amount,payment_by,ship_city,ship_state,ship_postal-code,ship_country,Label
182.22.31.252-10.42.0.211-443-48485-6,04-30-22,Cancelled,Merchant,Amazon.in,Standard,SET389,SET389-KR-NP-S,Set,S,B09KXVBD7Z,0,INR,647.62,Credit Card,MUMBAI,MAHARASHTRA,400081.0,IN,1
172.217.3.110-10.42.0.211-443-60421-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3781,JNE3781-KR-XXXL,kurta,3XL,B09K3WFS32,1,INR,406.0,Credit Card,BENGALURU,KARNATAKA,560085.0,IN,1
10.42.0.211-10.42.0.1-31065-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3371,JNE3371-KR-XL,kurta,XL,B07WV4JV4D,1,INR,329.0,Credit Card,NAVI MUMBAI,MAHARASHTRA,410210.0,IN,0
172.217.12.206-10.42.0.42-443-35767-6,04-30-22,Cancelled,Merchant,Amazon.in,Standard,J0341,J0341-DR-L,Western Dress,L,B099NRCT7B,0,INR,753.33,Credit Card,PUDUCHERRY,PUDUCHERRY,605008.0,IN,1
140.205.32.3-10.42.0.211-443-55083-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3671,JNE3671-TU-XXXL,Top,3XL,B098714BZP,1,INR,574.0,Credit Card,CHENNAI,TAMIL NADU,600073.0,IN,0
203.205.147.229-10.42.0.211-80-52309-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET264,SET264-KR-NP-XL,Set,XL,B08YN7XDSG,1,INR,824.0,Debit card,GHAZIABAD,UTTAR PRADESH,201102.0,IN,0
10.42.0.151-91.190.216.54-54248-12350-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0095,J0095-SET-L,Set,L,B08CMHNWBN,1,INR,653.0,Credit Card,CHANDIGARH,CHANDIGARH,160036.0,IN,1
10.42.0.211-104.244.43.35-41821-443-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-S,kurta,S,B081WX4G4Q,1,INR,399.0,Credit Card,HYDERABAD,TELANGANA,500032.0,IN,1
172.217.12.174-10.42.0.42-443-44753-6,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET200,SET200-KR-NP-A-XXXL,Set,3XL,B08L91ZZXN,0,,,Credit Card,HYDERABAD,TELANGANA,500008.0,IN,0
10.42.0.211-23.77.88.53-43881-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3461,JNE3461-KR-XXL,kurta,XXL,B08B3XF5MH,1,INR,363.0,Credit Card,Chennai,TAMIL NADU,600041.0,IN,1
172.217.10.42-10.42.0.211-443-45534-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3160,JNE3160-KR-G-S,kurta,S,B07K3YQLF1,1,INR,685.0,Credit Card,CHENNAI,TAMIL NADU,600073.0,IN,0
10.42.0.1-10.42.0.42-53-56346-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3500,JNE3500-KR-XS,kurta,XS,B098117DJ3,1,INR,364.0,Credit Card,NOIDA,UTTAR PRADESH,201303.0,IN,1
10.42.0.211-64.71.142.124-55658-443-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-XS,kurta,XS,B081XCMYXJ,1,INR,399.0,Credit Card,Amravati.,MAHARASHTRA,444606.0,IN,0
10.42.0.42-23.208.168.108-43192-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET182,SET182-KR-DH-XS,Set,XS,B085HS947T,1,INR,657.0,Credit Card,MUMBAI,MAHARASHTRA,400053.0,IN,1
10.42.0.211-10.42.0.1-43279-53-17,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0351,J0351-SET-L,Set,L,B09CSSQY4F,1,INR,771.0,Credit Card,MUMBAI,MAHARASHTRA,400053.0,IN,0
10.42.0.211-74.6.105.13-46443-443-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,PJNE3368,PJNE3368-KR-6XL,kurta,6XL,B09PY99SVJ,1,INR,544.0,Debit card,GUNTAKAL,ANDHRA PRADESH,515801.0,IN,0
172.217.11.38-10.42.0.211-443-56508-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3721,JNE3721-KR-XXL,kurta,XXL,B099FCT65D,1,INR,329.0,Debit card,JAIPUR,RAJASTHAN,302020.0,IN,1
203.205.158.62-10.42.0.151-80-37705-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XL,kurta,XL,B081WT6GG7,1,INR,399.0,Debit card,NEW DELHI,DELHI,110074.0,IN,0
172.217.6.206-10.42.0.151-443-45553-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3697,JNE3697-KR-XXL,kurta,XXL,B098133PV5,1,INR,458.0,Debit card,Gurgaon,HARYANA,122004.0,IN,1
10.42.0.211-47.88.66.107-52538-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET254,SET254-KR-NP-XS,Set,XS,B0983DDPL6,1,INR,886.0,Credit Card,BENGALURU,KARNATAKA,560017.0,IN,1
192.229.163.180-10.42.0.151-443-46526-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3795,JNE3795-KR-XXXL,kurta,3XL,B09HMXJVFS,1,INR,517.0,Credit Card,TIRUCHIRAPPALLI,TAMIL NADU,620018.0,IN,1
10.42.0.211-66.198.24.240-48285-80-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-M,Set,M,B09KXV4BN8,1,INR,666.0,Credit Card,BENGALURU,KARNATAKA,560040.0,IN,0
209.10.120.26-10.42.0.211-80-34454-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-L,kurta,L,B082W7GVH7,1,INR,376.0,Credit Card,HYDERABAD,TELANGANA,500072.0,IN,0
172.217.11.33-10.42.0.42-443-52649-6,04-30-22,Cancelled,Merchant,Amazon.in,Standard,SET291,SET291-KR-PP-M,Set,M,B099NK55YG,0,INR,570.48,Credit Card,pune,MAHARASHTRA,411044.0,IN,0
172.217.3.110-10.42.0.211-443-33171-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,MEN5002,MEN5002-KR-L,kurta,L,B08YYYDN9R,1,INR,499.0,Credit Card,TEZPUR,ASSAM,784001.0,IN,1
172.217.10.131-10.42.0.42-443-55775-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW030,NW030-TP-PJ-XS,Set,XS,B09G2RQSRZ,1,INR,582.0,Credit Card,RANCHI,JHARKHAND,834002.0,IN,1
